,window,units,loss,MSE
0,3,20,0.008167112246155739,5369.643372798073
1,3,30,0.013059438206255436,8586.199831442662
2,3,40,0.01914004422724247,12584.024506003421
3,3,50,0.018002592027187347,11836.18285343143
4,3,60,0.00893428921699524,5874.035241389565
5,3,70,0.009995036758482456,6571.443961323515
6,4,20,0.007034380920231342,4624.901641027107
7,4,30,0.009078457951545715,5968.821538705667
8,4,40,0.017151877284049988,11276.860652923235
9,4,50,0.007330498192459345,4819.588986928848
10,4,60,0.006921056658029556,4550.394715856946
11,4,70,0.008659394457936287,5693.30046290256
12,5,20,0.008823373354971409,5801.111742518925
13,5,30,0.01224734541028738,8052.273135221691
14,5,40,0.008006597869098186,5264.10761080886
15,5,50,0.008733699098229408,5742.154121715843
16,5,60,0.007578246295452118,4982.478476260907
17,5,70,0.007849539630115032,5160.846699666561
18,6,20,0.00914263166487217,6011.0194194128335
19,6,30,0.01002320647239685,6589.968461543033
20,6,40,0.008886169642210007,5842.400840558029
21,6,50,0.008577610366046429,5639.532423543255
22,6,60,0.00930863618850708,6120.160989243537
23,6,70,0.008629473857581615,5673.630700049624
24,7,20,0.0105696190148592,6949.221575932163
25,7,30,0.009817855432629585,6454.956733792545
26,7,40,0.01141069084405899,7502.201869324533
27,7,50,0.010219309478998184,6718.903625568831
28,7,60,0.010159471072256565,6679.561236936826
29,7,70,0.009396687150001526,6178.053403458227
30,8,20,0.011766494251787663,7736.131922215513
31,8,30,0.010692003183066845,7029.685613170142
32,8,40,0.013257887214422226,8716.681413646105
33,8,50,0.010750877670943737,7068.392098028213
34,8,60,0.016103990375995636,10587.912782372927
35,8,70,0.011246674694120884,7394.36750053126
36,9,20,0.012494627386331558,8214.856882262147
37,9,30,0.013826212845742702,9090.338464751632
38,9,40,0.011923657730221748,7839.462185237764
39,9,50,0.011537959799170494,7585.8776836429415
40,9,60,0.013207297772169113,8683.420755090669
41,9,70,0.01484935637563467,9763.028766668816
42,10,20,0.012906805612146854,8485.853089846443
43,10,30,0.013834442012012005,9095.750336088116
44,10,40,0.01448324229568243,9522.31563997575
45,10,50,0.014313487336039543,9410.707191102993
46,10,60,0.013186994940042496,8670.070693593389
47,10,70,0.015075177885591984,9911.49814402281
48,11,20,0.016550809144973755,10881.682035526479
49,11,30,0.014239749871194363,9362.227697108377
50,11,40,0.016934379935264587,11133.869582750382
51,11,50,0.015755919739603996,10359.066680325435
52,11,60,0.014586101286113262,9589.944199562135
53,11,70,0.017136456444859505,11266.730080354355
54,12,20,0.015391631983220577,10119.557383215024
55,12,30,0.017260560765862465,11348.325499593962
56,12,40,0.019517971202731133,12832.508025986439
57,12,50,0.018986143171787262,12482.844353133012
58,12,60,0.018992602825164795,12487.093961844232
59,12,70,0.016515841707587242,10858.693222592017
60,13,20,0.020163631066679955,13257.007676033043
61,13,30,0.01773517020046711,11660.36548075082
62,13,40,0.01792045123875141,11782.18194023757
63,13,50,0.017311006784439087,11381.491995905177
64,13,60,0.01851745881140232,12174.698813184368
65,13,70,0.015962738543748856,10495.043375445748
66,14,20,0.021672427654266357,14249.002311089065
67,14,30,0.02235746756196022,14699.392761071871
68,14,40,0.018816888332366943,12371.565647395684
69,14,50,0.016643101349473,10942.361642294867
70,14,60,0.0185768511146307,12213.74723791599
71,14,70,0.017200302332639694,11308.706917384012
72,15,20,0.020184988155961037,13271.049875100509
73,15,30,0.019140709191560745,12584.46847452332
74,15,40,0.021639348939061165,14227.251675978534
75,15,50,0.022176139056682587,14580.179763311919
76,15,60,0.020389515906572342,13405.521574437136
77,15,70,0.020816175267100334,13686.038595294538
78,16,20,0.02229407988488674,14657.71963171868
79,16,30,0.020057043060660362,13186.932271761925
80,16,40,0.02197507955133915,14447.987411484646
81,16,50,0.018907826393842697,12431.35285925344
82,16,60,0.018337605521082878,12056.450963149664
83,16,70,0.019645212218165398,12916.165815618539
84,17,20,0.026718446984887123,17566.612165962677
85,17,30,0.02004614844918251,13179.769011791712
86,17,40,0.020253747701644897,13316.258918512318
87,17,50,0.02354913391172886,15482.881924143156
88,17,60,0.01967594213783741,12936.3695472562
89,17,70,0.018980009481310844,12478.814362337107
90,18,20,0.02623198740184307,17246.782149987917
91,18,30,0.024637317284941673,16198.329646877377
92,18,40,0.02642594836652279,17374.30459156569
93,18,50,0.02452772669494152,16126.277751982023
94,18,60,0.019894447177648544,13080.026549041188
95,18,70,0.020281337201595306,13334.397501960544
96,19,20,0.03011483885347843,19799.644126655356
97,19,30,0.021548304706811905,14167.394907338956
98,19,40,0.026336701586842537,17315.629097893056
99,19,50,0.023888062685728073,15705.716715040327
100,19,60,0.019162943586707115,12599.087125932136
101,19,70,0.022742511704564095,14952.55293831568
102,20,20,0.02267180010676384,14906.05845121227
103,20,30,0.022205490618944168,14599.473486533609
104,20,40,0.01991920918226242,13096.308821656483
105,20,50,0.02231983095407486,14674.648720432493
106,20,60,0.021990370005369186,14458.03831054268
107,20,70,0.025271106511354446,16615.028230896798
