,window,units,loss,MSE
0,3,20,0.012289118021726608,685.4410110122708
1,3,30,0.006868070922791958,383.07540998893285
2,3,40,0.003926021512597799,218.97877914564947
3,3,50,0.004257166758179665,237.4489089346012
4,3,60,0.0032840645872056484,183.17282279417208
5,3,70,0.003906849771738052,217.90951778802756
6,4,20,0.008852699771523476,493.770551694678
7,4,30,0.004611613694578409,257.218489008643
8,4,40,0.004426463972777128,246.89173658663603
9,4,50,0.004537833388894796,253.103479777949
10,4,60,0.004085372667759657,227.86686507320073
11,4,70,0.006043584086000919,337.08855484629646
12,5,20,0.006175133399665356,344.4259335798538
13,5,30,0.004853909369558096,270.73292207081016
14,5,40,0.004730533342808485,263.85145859695575
15,5,50,0.00513018574565649,286.1426682032655
16,5,60,0.0044867671094834805,250.25515568787512
17,5,70,0.004957535769790411,276.5129048448218
18,6,20,0.005202873144298792,290.1967820356386
19,6,30,0.005461921449750662,304.64554913092957
20,6,40,0.004912499338388443,274.000886641372
21,6,50,0.007589728571474552,423.3268380940426
22,6,60,0.005595613736659288,312.10246438407
23,6,70,0.005507355555891991,307.1797315229273
24,7,20,0.006076189689338207,338.907185550413
25,7,30,0.007503369823098183,418.51001516179724
26,7,40,0.005555553361773491,309.868045487899
27,7,50,0.006195083726197481,345.5386941552369
28,7,60,0.006348083261400461,354.07251623041225
29,7,70,0.007559229154139757,421.6254649694634
30,8,20,0.0066543989814817905,371.15761698766664
31,8,30,0.006379273254424334,355.81212549470234
32,8,40,0.00570126436650753,317.9952064202891
33,8,50,0.00648728059604764,361.8363413765819
34,8,60,0.007607660721987486,424.3269436232164
35,8,70,0.007584976032376289,423.0617441793076
36,9,20,0.007010632194578648,391.02690124313426
37,9,30,0.007106352597475052,396.36597186326463
38,9,40,0.00812325719743967,453.08499917837327
39,9,50,0.009333077818155289,520.56440252641
40,9,60,0.006616574712097645,369.0479181578551
41,9,70,0.005907680373638868,329.5083614667722
42,10,20,0.00866621546447277,483.369222689689
43,10,30,0.008553089573979378,477.05954583025436
44,10,40,0.008075674995779991,450.43105335429493
45,10,50,0.007917135953903198,441.58846114493076
46,10,60,0.006648259237408638,370.81511454823584
47,10,70,0.0064964075572788715,362.34525190791135
48,11,20,0.00892765261232853,497.95139701359165
49,11,30,0.010622963309288025,592.5092786472192
50,11,40,0.009008203633129597,502.444078862576
51,11,50,0.0064704702235758305,360.89873705863135
52,11,60,0.006619976833462715,369.23764355792974
53,11,70,0.006718955002725124,374.75828113898575
54,12,20,0.009767210111021996,544.7786929421218
55,12,30,0.00846317782998085,472.04451838340844
56,12,40,0.00820033997297287,457.3844010385037
57,12,50,0.008025716058909893,447.64457841937474
58,12,60,0.010164209641516209,566.9217578128433
59,12,70,0.006862573325634003,382.768806005724
60,13,20,0.00925878994166851,516.4208025048414
61,13,30,0.008186529390513897,456.6140606026152
62,13,40,0.009184122085571289,512.2561380213176
63,13,50,0.009587738662958145,534.7683985399007
64,13,60,0.008398243226110935,468.4228813091082
65,13,70,0.011244062334299088,627.1520062847344
66,14,20,0.009142261929810047,509.921383982833
67,14,30,0.009985572658479214,556.9580802109912
68,14,40,0.01064985990524292,594.0095792036409
69,14,50,0.008538011461496353,476.2185321486152
70,14,60,0.012384050525724888,690.7363684162409
71,14,70,0.009444561786949635,526.7826060734433
72,15,20,0.01168342400342226,651.6578183113872
73,15,30,0.010734724812209606,598.7429733767339
74,15,40,0.014366677962243557,801.319783900455
75,15,50,0.009786843322217464,545.8736287980286
76,15,60,0.010656619444489479,594.3865783161201
77,15,70,0.009194813668727875,512.8526378087255
78,16,20,0.011672505177557468,651.048817757334
79,16,30,0.011092561297118664,618.7018337791532
80,16,40,0.013135355897247791,732.6413158957972
81,16,50,0.01085132546722889,605.2466210697809
82,16,60,0.009667479433119297,539.2160485822556
83,16,70,0.00968756340444088,540.3362197642609
84,17,20,0.0134355453774333,749.3849230756099
85,17,30,0.010285797528922558,573.7034635023927
86,17,40,0.011800238862633705,658.1733568296938
87,17,50,0.01019771583378315,568.7906790885819
88,17,60,0.011841644532978535,660.4828107708441
89,17,70,0.010482028126716614,584.6485773249698
90,18,20,0.011397849768400192,635.7294616601706
91,18,30,0.013976366259157658,779.5497461699797
92,18,40,0.012605343945324421,703.079278969081
93,18,50,0.01934434287250042,1078.95538968286
94,18,60,0.012466506101191044,695.3353844460411
95,18,70,0.014756268821656704,823.0497925278526
96,19,20,0.01024642400443554,571.507294418039
97,19,30,0.010641168802976608,593.5247729137227
98,19,40,0.014789481647312641,824.9023353322738
99,19,50,0.012490680441260338,696.6836632809741
100,19,60,0.011790662072598934,657.6392238515108
101,19,70,0.012659035623073578,706.0738351974455
102,20,20,0.013547779060900211,755.6447111431241
103,20,30,0.015577750280499458,868.868846425709
104,20,40,0.009900513105094433,552.21373412786
105,20,50,0.009141143411397934,509.8589039842077
106,20,60,0.01734158769249916,967.2491160705015
107,20,70,0.01301797665655613,726.094162048943
