,window,units,loss,MSE
0,3,20,0.04875677824020386,292.9417372367236
1,3,30,0.05654514208436012,339.7360119293102
2,3,40,0.05306136608123779,318.80470155419704
3,3,50,0.04632733762264252,278.3450813413885
4,3,60,0.009558400139212608,57.42901835519743
5,3,70,0.0046520656906068325,27.9506581242887
6,4,20,0.049001045525074005,294.4092806931096
7,4,30,0.05962754413485527,358.25580148388633
8,4,40,0.013667313382029533,82.11626893622878
9,4,50,0.003848639316856861,23.123494200154674
10,4,60,0.005031670909374952,30.231408675574542
11,4,70,0.006070675328373909,36.47398166923861
12,5,20,0.05142470821738243,308.971230584487
13,5,30,0.03235318511724472,194.38522600369993
14,5,40,0.004156273324042559,24.971811988963747
15,5,50,0.004986122250556946,29.957748834684025
16,5,60,0.002723302925005555,16.362214562022903
17,5,70,0.002784186974167824,16.72802278093217
18,6,20,0.03221247345209122,193.5398159103988
19,6,30,0.007983477786183357,47.96653121759261
20,6,40,0.00622992217540741,37.430778678099934
21,6,50,0.005022055469453335,30.173633506622476
22,6,60,0.00269007938914001,16.162613580087196
23,6,70,0.002821493661031127,16.952187056227118
24,7,20,0.03171365335583687,190.54279957953023
25,7,30,0.005922424141317606,35.58325500065237
26,7,40,0.005301427561789751,31.852165150337356
27,7,50,0.003440092084929347,20.668847661193247
28,7,60,0.003620676463469863,21.753844280939585
29,7,70,0.0027767152059823275,16.683131485305115
30,8,20,0.02329021692276001,139.9328711879246
31,8,30,0.006588242948055267,39.58366044546317
32,8,40,0.006668074056506157,40.06327371633331
33,8,50,0.0033783295657485723,20.29776307253318
34,8,60,0.0030125149060040712,18.099877760895822
35,8,70,0.0029667250346392393,17.8247513085599
36,9,20,0.015101664699614048,90.73418460957741
37,9,30,0.006504813674837351,39.08236260188042
38,9,40,0.004725227598100901,28.390216186615902
39,9,50,0.00317371916025877,19.068437110771093
40,9,60,0.00407704571262002,24.495803768265162
41,9,70,0.0036442566197365522,21.89551312618848
42,10,20,0.00488419970497489,29.345382247305132
43,10,30,0.005642775446176529,33.90305277326603
44,10,40,0.0035488801077008247,21.32247059792838
45,10,50,0.003209687303751707,19.284518560517437
46,10,60,0.0032711722888052464,19.653941091406793
47,10,70,0.00324597698636353,19.502565023794684
48,11,20,0.007997973822057247,48.05359963507053
49,11,30,0.0056356582790613174,33.86030483680414
50,11,40,0.003965390380471945,23.824968646052415
51,11,50,0.003383867908269167,20.331045225741054
52,11,60,0.0036345580592751503,21.837247059934082
53,11,70,0.003541629994288087,21.278911802280618
54,12,20,0.008767887949943542,52.6794382561467
55,12,30,0.004745604004710913,28.51266539401027
56,12,40,0.004253628198057413,25.556751955534192
57,12,50,0.0037549675907939672,22.56070312875807
58,12,60,0.006704202387481928,40.28037689754194
59,12,70,0.005217139143496752,31.34575327302325
60,13,20,0.006265853997319937,37.64665320018604
61,13,30,0.005034754052758217,30.24992863317715
62,13,40,0.004848037846386433,29.12809055506012
63,13,50,0.0036245929077267647,21.777376777701843
64,13,60,0.004773429129272699,28.67983933461558
65,13,70,0.004526330158114433,27.19522711200584
66,14,20,0.006839426700025797,41.09280335134099
67,14,30,0.0041846176609396935,25.14213794729342
68,14,40,0.004743322730064392,28.49896233235145
69,14,50,0.00534571148455143,32.11822632910399
70,14,60,0.004051652271300554,24.343259261271054
71,14,70,0.0036767455749213696,22.090718599297457
72,15,20,0.006255900487303734,37.58686826316099
73,15,30,0.007118082605302334,42.767041430733414
74,15,40,0.004857192747294903,29.183125266648442
75,15,50,0.004141989629715681,24.886019958675497
76,15,60,0.004440085496753454,26.677037274642
77,15,70,0.005527971778064966,33.21332329363858
78,16,20,0.007798029109835625,46.852299505977285
79,16,30,0.005267680622637272,31.649413092306013
80,16,40,0.005882362835109234,35.34257022719247
81,16,50,0.00441185524687171,26.507416689412715
82,16,60,0.005138154607266188,30.87120456074706
83,16,70,0.004673843737691641,28.08152188964352
84,17,20,0.005558107979595661,33.394363048706936
85,17,30,0.005586143117398024,33.56280979709978
86,17,40,0.003825356950983405,22.983600949618506
87,17,50,0.004395185969769955,26.40726902990431
88,17,60,0.003906192956492305,23.469293257501135
89,17,70,0.004011092707514763,24.09955033364879
90,18,20,0.006151322741061449,36.95853466033348
91,18,30,0.0046508884988725185,27.943596705052382
92,18,40,0.005204112268984318,31.267484393348727
93,18,50,0.004205269739031792,25.266206876005032
94,18,60,0.004484147764742374,26.941781597845676
95,18,70,0.005995439365506172,36.0219563450492
96,19,20,0.005239216145128012,31.478398156551552
97,19,30,0.006057743914425373,36.39630381013003
98,19,40,0.004411778878420591,26.506981301874823
99,19,50,0.004242875147610903,25.492147919575142
100,19,60,0.003910040017217398,23.49240339202166
101,19,70,0.0036006486043334007,21.633499523246833
102,20,20,0.005776529666036367,34.706697083070836
103,20,30,0.004799128510057926,28.834249016023897
104,20,40,0.004354892298579216,26.165174256298418
105,20,50,0.00460814731195569,27.686789331872042
106,20,60,0.005793832242488861,34.810685310208434
107,20,70,0.00599879864603281,36.04215713864707
